Series_Review_Id,Review_Type,Review_Comments,Rating,User_Name,Series_Id,Review_Date,User_Id
1,Critic      ,minded series. actor movie Awesome house the Best got mesmerizing locations,1,Marcos5     ,30,2/17/1987,727
2,Customer    ,beautiful soothe into into house actor movie Awesome Best studios were got,4,Darryl      ,34,3/23/1966,818
3,Critic      ,direction movie movie calm Best movie calm mesmerizing production the,9,Melanie071  ,31,1/12/2004,768
4,Critic      ,dumb locations studios soothe actor studios actor were movie production in,5,Jasmine     ,22,9/25/1956,557
5,Customer    ,action Best got movie direction direction locations got nice got actor in,5,Marcella    ,8,5/3/1999,206
6,Customer    ,actor that mesmerizing amazing Awesome house were that production Best,9,Jay         ,23,7/22/1976,559
7,Critic      ,,8,Marjorie27  ,37,7/2/1960,907
8,Critic      ,actor dumb direction actor direction studios that actor soothe the got,6,Jackie72    ,16,4/22/1958,441
9,Critic      ,got Awesome production into Best locations series. production nice shoot,7,Ann942      ,40,3/25/1955,978
10,Critic      ,studios action nice in in studios calm got calm studios mesmerizing series.,9,Theresa     ,10,11/4/2003,273
11,Customer    ,studios nice nice nice movie Awesome mesmerizing that into soothe,6,Elizabeth90 ,11,9/23/1992,291
12,Customer    ,movie actor the beautiful into direction in dumb the dumb direction dumb in,2,Naomi138    ,18,10/24/1980,467
13,Customer    ,in house locations locations action actor house minded action mesmerizing,10,Carla2      ,26,12/10/1955,633
14,Customer    ,that soothe action that action were production calm studios series. action,3,Henry68     ,17,12/1/1996,469
15,Customer    ,house production shoot studios calm production Best in minded direction,4,Teddy       ,39,2/19/1975,983
16,Customer    ,shoot minded into locations Best locations beautiful action soothe,3,Trevor      ,1,5/3/1958,30
17,Critic      ,dumb dumb dumb shoot house shoot dumb into mesmerizing shoot Best minded,4,Jolene21    ,33,4/29/1986,862
18,Customer    ,shoot production shoot in in into minded amazing into minded action shoot,8,Virginia    ,38,8/28/1986,996
19,Customer    ,,3,Erick77     ,25,9/20/1970,675
20,Critic      ,Awesome into shoot studios nice mesmerizing house into dumb mesmerizing the,5,Brandie     ,9,12/19/1983,313
21,Customer    ,shoot Best action into series. Awesome house the Awesome locations,3,Gloria967   ,29,11/30/1987,815
22,Customer    ,amazing action Best Awesome movie action direction house direction studios,3,Noah650     ,32,12/9/2005,847
23,Customer    ,locations direction calm mesmerizing actor nice into production the dumb,6,Geoffrey821 ,36,8/22/1957,992
24,Critic      ,Awesome that minded direction action minded dumb nice dumb direction,10,Tammie3     ,2,7/7/2005,33
25,Critic      ,soothe into that into were soothe studios into dumb dumb actor calm,2,Damian9     ,21,1/7/1978,697
26,Critic      ,calm shoot action direction beautiful calm Best mesmerizing mesmerizing,6,John        ,14,6/24/1977,523
27,Customer    ,action soothe dumb the studios the mesmerizing in minded movie got in in,1,Xavier      ,35,10/29/1989,932
28,Customer    ,got amazing direction house soothe studios Awesome direction action amazing,9,Tim         ,20,3/7/1990,684
29,Customer    ,locations production action were calm calm locations beautiful shoot calm,1,Kara        ,13,12/19/1998,542
30,Customer    ,house were studios amazing Awesome beautiful action minded calm into nice,9,Nikki1      ,3,3/16/1970,81
31,Critic      ,the Awesome direction in soothe mesmerizing soothe calm Best amazing movie,6,Armando1    ,5,3/12/1991,185
32,Customer    ,mesmerizing shoot locations calm mesmerizing calm direction the that nice,1,Beverly91   ,12,4/24/1997,449
33,Critic      ,mesmerizing house mesmerizing studios calm movie Best dumb minded actor,9,Ericka6     ,7,3/9/1956,295
34,Critic      ,the were direction into series. direction actor studios locations nice,10,Claude913   ,28,11/17/2007,987
35,Critic      ,shoot shoot in minded direction series. Awesome calm the in action nice,7,Israel      ,24,9/27/1993,639
36,Critic      ,movie amazing dumb studios got studios calm nice Awesome series. minded,8,Antoine     ,27,5/13/2001,760
37,Customer    ,direction direction nice Awesome movie were production nice amazing actor,4,Donovan2    ,4,7/18/1997,31
38,Critic      ,locations movie the Awesome dumb locations locations movie nice calm dumb,5,Nathaniel306,6,4/22/1982,377
39,Customer    ,shoot that in were locations production minded locations calm nice in,2,Frank       ,15,3/29/1990,341
40,Critic      ,in the soothe actor locations calm studios in Best action soothe locations,3,Andrea      ,30,10/17/2007,955
41,Critic      ,studios beautiful production amazing direction direction action were minded,10,Ernesto22   ,34,9/25/1964,501
42,Customer    ,series. studios Best locations soothe the direction Best series. the shoot,3,Charity665  ,31,5/16/1958,713
43,Customer    ,series. nice mesmerizing house calm beautiful amazing in nice that movie,7,Shirley     ,22,8/16/1975,118
44,Customer    ,action action got production shoot minded into nice dumb Best Best,6,Candy77     ,8,11/12/2000,269
45,Customer    ,action movie mesmerizing calm calm into calm production actor actor shoot,8,Lori        ,23,7/5/1970,904
46,Critic      ,were house production actor beautiful nice house nice locations beautiful,8,Luis059     ,37,2/15/1977,792
47,Customer    ,Best locations studios beautiful minded calm in nice studios into action,6,Gabriel68   ,16,11/5/1981,334
48,Customer    ,minded direction dumb mesmerizing Best action beautiful nice minded,10,Alisha221   ,40,8/16/2006,453
49,Critic      ,studios dumb production action dumb were locations actor were Awesome that,8,Jessica83   ,10,1/17/1955,145
50,Critic      ,that studios locations beautiful movie actor studios mesmerizing direction,3,Noel9       ,11,4/10/1987,219
51,Critic      ,locations action that amazing locations amazing shoot Awesome dumb into,7,Katina      ,18,6/10/1953,407
52,Customer    ,beautiful shoot dumb were production beautiful locations direction,7,Ruth2       ,26,7/19/1953,717
53,Customer    ,in action production mesmerizing dumb minded action shoot mesmerizing in,6,Valerie     ,17,5/18/1995,616
54,Critic      ,series. house studios soothe amazing amazing movie into got beautiful were,1,Samuel4     ,39,8/28/1989,486
55,Customer    ,calm mesmerizing series. actor the direction beautiful direction movie got,10,Leigh       ,1,7/28/1985,192
56,Customer    ,shoot in soothe house locations beautiful into Awesome into the production,9,Donald7     ,33,3/10/1989,876
57,Critic      ,that shoot calm in nice Best in the got calm series. in Awesome were that,8,Jean838     ,38,8/1/1961,824
58,Customer    ,house actor beautiful dumb minded house in got minded the were the studios,10,Tyson064    ,25,7/7/2006,733
59,Customer    ,shoot movie shoot direction soothe beautiful got soothe action locations,3,Holly364    ,9,9/18/1986,856
60,Critic      ,amazing mesmerizing series. Best got production that production amazing,10,Dena491     ,29,11/9/1974,673
61,Critic      ,mesmerizing Awesome mesmerizing Awesome were nice movie action that nice,8,Lisa        ,32,9/24/1994,619
62,Critic      ,that beautiful house direction the actor nice series. locations amazing,10,Joel        ,36,4/27/1978,215
63,Critic      ,minded mesmerizing beautiful dumb Best mesmerizing studios were series.,6,Miranda42   ,2,5/4/1967,893
64,Critic      ,soothe movie that movie were shoot beautiful action the series. beautiful,8,Willie34    ,21,1/9/1993,894
65,Customer    ,movie production in Best amazing movie locations nice shoot dumb shoot,3,Ismael0     ,14,8/25/1965,86
66,Customer    ,minded studios calm house into calm nice house action mesmerizing action,5,Sabrina1    ,35,6/1/2003,835
67,Customer    ,got action house beautiful that mesmerizing mesmerizing in movie were,4,Shanna08    ,20,8/18/1977,166
68,Critic      ,were the studios movie calm action that got movie that mesmerizing soothe,1,Ruben926    ,13,1/23/1956,637
69,Critic      ,Best that Awesome got were the dumb locations amazing series. got into,6,Lorie045    ,3,3/6/1956,822
70,Critic      ,dumb beautiful were Awesome nice nice Best soothe that action into got,6,Latisha52   ,5,10/8/1981,217
71,Customer    ,beautiful amazing direction were soothe Best house dumb movie Awesome were,9,Shirley541  ,12,10/15/1968,1000
72,Critic      ,calm production production dumb actor amazing mesmerizing action,9,Michelle20  ,7,1/7/1957,476
73,Critic      ,in series. in movie soothe calm into soothe soothe calm mesmerizing Awesome,6,Heidi6      ,28,5/31/2004,646
74,Customer    ,Awesome amazing production shoot the mesmerizing nice locations amazing,10,Trisha      ,24,12/5/1970,714
75,Critic      ,studios actor production locations movie amazing amazing that in production,5,Micah       ,27,3/25/1972,803
76,Critic      ,actor movie nice movie Awesome the the locations minded beautiful studios,10,Drew0       ,4,7/18/1982,99
77,Critic      ,beautiful direction action got the production Awesome house action,6,Calvin8     ,6,4/27/1983,723
78,Critic      ,calm in series. locations studios were dumb dumb that amazing Best Awesome,1,Allan8      ,15,10/10/1964,710
79,Customer    ,series. amazing into the Best the Awesome calm Awesome Awesome amazing,2,Kristen507  ,30,1/4/1988,123
80,Critic      ,house got nice production dumb actor house shoot movie mesmerizing minded,4,Gwendolyn174,34,11/23/1953,903
81,Critic      ,amazing that house beautiful Awesome production soothe calm amazing house,1,Margaret3   ,31,8/20/2003,184
82,Critic      ,the soothe into house action action in calm actor shoot actor Awesome shoot,2,Victoria    ,22,3/15/1991,470
83,Critic      ,production actor actor in nice action soothe mesmerizing series. soothe,1,Jamal006    ,8,2/19/1988,533
84,Customer    ,soothe calm actor beautiful dumb that studios house the movie direction,8,Jodi        ,23,9/10/1964,321
85,Customer    ,the movie series. nice that the Best that actor dumb mesmerizing studios,3,Dennis483   ,37,10/6/1969,662
86,Critic      ,into Best beautiful studios into amazing minded movie amazing production,10,Trenton73   ,16,8/25/1990,459
87,Critic      ,action direction the calm Awesome direction dumb the Awesome production,5,Kendall     ,40,12/9/1954,830
88,Customer    ,studios into house that actor house the amazing movie beautiful actor,8,Ashley08    ,10,7/13/1974,802
89,Critic      ,production beautiful soothe studios calm studios that studios Best,10,Milton34    ,11,4/22/1975,786
90,Customer    ,action series. minded Awesome that the amazing Awesome Best studios nice,9,Darla       ,18,7/20/1957,757
91,Critic      ,Best nice series. amazing actor got direction studios soothe actor minded,10,Juan33      ,26,10/13/1992,937
92,Critic      ,mesmerizing mesmerizing the production calm that nice production calm,5,Stacie827   ,17,1/12/1999,288
93,Critic      ,studios direction direction actor into Awesome studios in in actor Awesome,3,Cheryl      ,39,8/4/2003,513
94,Critic      ,movie Awesome production dumb direction locations actor Best got dumb got,2,Leo         ,1,5/21/1968,652
95,Customer    ,into production Awesome that beautiful calm the locations Awesome that,6,Marcos59    ,33,1/24/1966,326
96,Critic      ,in were Awesome house direction Awesome minded studios that Best the,10,Shirley8    ,38,6/1/1994,279
97,Customer    ,the studios amazing minded direction locations nice actor dumb the dumb,7,Carl367     ,25,1/12/1999,814
98,Critic      ,soothe Awesome action production mesmerizing shoot amazing series. shoot,10,Dion        ,9,8/6/1990,216
99,Critic      ,calm Best direction shoot amazing Best series. minded movie amazing,3,Angel       ,29,3/20/1988,179
100,Customer    ,action nice were series. movie mesmerizing studios that amazing amazing,3,Peggy2      ,32,2/3/1975,65
101,Customer    ,production dumb amazing direction that action got minded direction amazing,5,Natasha090  ,36,6/30/2007,612
102,Customer    ,Awesome movie actor nice Awesome minded got Best studios actor movie,5,Gabriela    ,2,10/14/1978,685
103,Customer    ,series. the amazing shoot movie that amazing soothe into Awesome production,4,Jodie45     ,21,6/13/2003,618
104,Critic      ,that into were soothe were house nice were series. movie nice in production,2,Tonia744    ,14,4/10/1981,927
105,Critic      ,mesmerizing shoot in beautiful soothe soothe movie movie got actor,4,Tyler3      ,35,6/26/1971,218
106,Critic      ,that in into got shoot studios beautiful studios beautiful mesmerizing,9,Allyson5    ,20,6/2/2004,928
107,Customer    ,direction nice Awesome dumb locations movie shoot action series. house,1,Ty97        ,13,2/18/1957,63
108,Customer    ,house locations direction mesmerizing calm movie dumb actor that shoot got,7,Kirsten1    ,3,6/14/1977,897
109,Critic      ,into dumb shoot minded were nice direction house amazing studios the house,6,Sonny91     ,5,6/5/1970,667
110,Customer    ,amazing movie production Awesome that production series. direction soothe,1,Rickey64    ,12,1/12/1956,91
111,Critic      ,locations nice were amazing Best dumb actor series. the beautiful series.,3,Alana3      ,7,11/15/1958,144
112,Critic      ,studios studios soothe mesmerizing studios movie studios that studios dumb,8,Ian55       ,28,10/22/2004,105
113,Critic      ,,8,Karl603     ,24,7/4/1971,596
114,Critic      ,house minded studios got actor Awesome house minded calm direction,10,Michael345  ,27,10/26/1985,952
115,Critic      ,,10,Joan        ,4,3/23/1979,481
116,Customer    ,Awesome direction studios mesmerizing calm mesmerizing actor production,6,Clifton     ,6,7/12/1956,146
117,Critic      ,nice mesmerizing locations amazing production the production house,10,Gena03      ,15,3/8/1998,668
118,Customer    ,production the amazing beautiful soothe dumb soothe actor house Awesome,9,Lydia161    ,30,8/24/1955,560
119,Customer    ,were locations beautiful into nice studios direction dumb got mesmerizing,6,Oscar89     ,34,4/5/1976,225
120,Critic      ,amazing series. minded beautiful dumb soothe soothe action locations Best,4,Donnell082  ,31,1/1/1983,604
121,Customer    ,action direction minded series. soothe actor dumb soothe action minded Best,1,Gerald89    ,22,6/24/2001,5
122,Customer    ,direction actor in got house dumb mesmerizing were were that series. in,6,Adam15      ,8,2/7/1956,357
123,Customer    ,mesmerizing studios studios were beautiful movie house were actor,2,Sonny       ,23,10/2/1988,848
124,Critic      ,series. action beautiful soothe studios shoot locations Awesome in movie,7,Ramon0      ,37,8/17/2006,59
125,Critic      ,were the minded in soothe the action into movie minded mesmerizing,6,Bart642     ,16,,278
126,Critic      ,production nice dumb soothe amazing movie direction production movie calm,5,Hugh        ,40,12/26/1996,698
127,Customer    ,actor production nice calm dumb got action the production house production,7,Albert3     ,10,10/4/1977,958
128,Critic      ,nice mesmerizing movie got production beautiful locations production house,4,Manuel      ,11,6/5/1961,988
